pdb,sp_primary,chain,sp_beg,sp_end
5d7v,Q13882,C,185,446
5d7v,Q13882,D,185,446
5da3,Q13882,A,185,446
5dc0,P00519,B,112,232
5dc4,P00519,A,112,232
5dc9,P00519,A,112,232
5df6,Q06124,A,1,222
5eel,Q14451,A,415,532
5eel,Q14451,B,415,532
5eel,Q14451,C,415,532
5eel,Q14451,D,415,532
5eel,Q14451,E,415,532
5eel,Q14451,F,415,532
5eeq,Q14451,A,415,532
5eeq,Q14451,B,415,532
5ehp,Q06124,A,1,525
5ehp,Q06124,B,1,525
5ehr,Q06124,A,1,525
5ehr,Q06124,B,1,525
5fbn,Q06187,C,389,659
5fbn,Q06187,D,389,659
5fbo,Q06187,A,389,659
5fi4,P27986,B,306,617
5ghv,P43405,A,356,635
5ghv,P43405,B,356,635
5gjh,O75791,A,58,155
5gjh,O75791,C,58,155
5gji,P27986,A,325,430
5h09,P08631,A,81,526
5h0b,P08631,A,81,526
5h0e,P08631,A,81,526
5h0g,P08631,A,81,526
5h0h,P08631,A,81,526
5h2u,Q13882,A,185,446
5h2u,Q13882,B,185,446
5h2u,Q13882,C,185,446
5h2u,Q13882,D,185,446
5hck,P08631,A,72,143
5hu9,P00519,A,229,500
5i6v,Q06124,A,1,525
5i6v,Q06124,B,1,525
5ibm,Q06124,A,1,525
5ibm,Q06124,B,1,525
5ibs,Q06124,A,1,525
5ibs,Q06124,B,1,525
5itd,P27986,B,306,617
5j87,Q06187,A,385,658
5j87,Q06187,B,385,658
5j87,Q06187,C,385,658
5j87,Q06187,D,385,658
5jrs,Q06187,A,396,659
5jrs,Q06187,B,396,659
5kaz,O14796,A,1,104
5kup,Q06187,A,392,657
5lma,P43405,A,360,635
5lmb,P43405,A,360,635
5lmb,P43405,B,360,635
5m6u,P27986,B,1,724
5mo4,P00519,A,27,515
5mtm,P06239,A,118,231
5mtn,P06239,A,118,231
5np2,P00519,A,64,120
5np2,P00519,B,64,120
5np3,P42684,A,110,166
5np3,P42684,B,110,166
5np3,P42684,C,110,166
5np3,P42684,D,110,166
5np5,P42684,A,110,166
5np5,P42684,B,110,166
5nuh,P08631,C,79,90
5nuh,P08631,C,96,138
5nuh,P08631,D,79,90
5nuh,P08631,D,96,138
5o76,P43403,B,286,297
5o76,P43403,D,286,297
5oaz,P00519,A,60,121
5oaz,P00519,B,60,121
5okm,O15357,A,420,878
5okm,O15357,B,420,878
5okm,O15357,C,420,878
5okm,O15357,D,420,878
5okm,O15357,E,420,878
5okm,O15357,F,420,878
5okm,O15357,G,420,878
5okm,O15357,H,420,878
5okn,O15357,A,420,878
5okn,O15357,B,420,878
5okn,O15357,C,420,878
5okn,O15357,D,420,878
5okn,O15357,E,420,878
5okn,O15357,F,420,878
5okn,O15357,G,420,878
5okn,O15357,H,420,878
5oko,O15357,A,420,878
5oko,O15357,B,420,878
5okp,O15357,A,420,878
5p9f,Q06187,A,382,659
5p9g,Q06187,A,382,659
5p9h,Q06187,A,382,659
5p9i,Q06187,A,382,659
5p9j,Q06187,A,382,659
5p9k,Q06187,A,382,659
5p9l,Q06187,A,382,659
5p9m,Q06187,A,382,659
5sw8,P27986,B,322,600
5swg,P27986,B,322,600
5swo,P27986,B,322,600
5swp,P27986,B,322,600
5swr,P27986,B,322,600
5swt,P27986,B,322,600
5sx8,P27986,B,322,600
5sx9,P27986,B,322,600
5sxa,P27986,B,322,600
5sxb,P27986,B,322,600
5sxc,P27986,B,322,600
5sxd,P27986,B,322,600
5sxe,P27986,B,322,600
5sxf,P27986,B,322,600
5sxi,P27986,B,322,600
5sxj,P27986,B,322,600
5sxk,P27986,B,322,600
5t18,Q06187,A,396,659
5t68,P43405,A,356,635
5t68,P43405,B,356,635
5tiu,P43405,A,356,635
5tr6,P43405,A,356,635
5tt7,P43405,A,356,635
5tyi,Q14451,A,415,532
5tyi,Q14451,B,415,532
5tyi,Q14451,C,415,532
5tyi,Q14451,D,415,532
5u06,Q14451,A,415,532
5u06,Q14451,B,415,532
5u06,Q14451,C,415,532
5u06,Q14451,D,415,532
5u1q,Q14451,A,415,532
5u1q,Q14451,B,415,532
5u1q,Q14451,C,415,532
5u1q,Q14451,D,415,532
5u9d,Q06187,A,389,659
5ubt,P27986,B,432,599
5uk8,P27986,B,306,593
5ukj,P27986,B,306,593
5ul1,P27986,B,306,593
5ul6,P46108,A,134,191
5vfi,Q06187,A,389,659
5vgo,Q06187,A,393,657
5vlr,P27986,B,431,600
5w3r,Q9NRF2,A,519,628
5x7b,Q06124,A,1,220
5x94,Q06124,A,1,220
5x94,Q06124,B,1,220
5xgh,P27986,B,322,598
5xgi,P27986,B,322,598
5xgj,P27986,B,322,599
5xy1,P07948,A,239,512
5xyz,Q06187,A,393,656
5xyz,Q06187,B,393,656
5xzr,Q06124,A,1,534
5y5t,P43405,A,356,635
5y5u,P43405,A,356,635
5y5u,P43405,B,356,635
5zau,P06241,A,85,141
5zj6,P08631,A,242,521
5zj6,P08631,B,242,521
5zz4,Q06187,A,393,656
5zz4,Q06187,B,393,656
5zz4,Q06187,C,393,656
5zz4,Q06187,D,393,656
5zz4,Q06187,E,393,656
5zz4,Q06187,F,393,656
6amv,P00519,A,6,12
6amv,P00519,A,13,236
6amw,P00519,A,6,12
6amw,P00519,A,13,236
6atd,Q06124,A,1,526
6atd,Q06124,B,1,526
6ate,P12931,A,254,536
6atv,P46108,A,134,191
6aua,Q06187,A,394,656
6aub,Q06187,A,395,657
6bik,Q06187,A,392,657
6bke,Q06187,A,392,657
6bkh,Q06187,A,392,657
6bkw,Q06187,A,392,657
6bl8,P00519,A,233,504
6bl8,P00519,B,233,504
6bln,Q06187,A,392,657
6bmr,Q06124,A,1,525
6bmr,Q06124,B,1,525
6bmu,Q06124,A,1,525
6bmu,Q06124,B,1,525
6bmv,Q06124,A,1,525
6bmv,Q06124,B,1,525
6bmw,Q06124,A,1,525
6bmw,Q06124,B,1,525
6bmx,Q06124,A,1,525
6bmx,Q06124,B,1,525
6bmy,Q06124,A,1,525
6bmy,Q06124,B,1,525
6bn5,Q06124,A,1,525
6bn5,Q06124,B,1,525
6c4s,P12931,A,87,144
6c4s,P12931,B,87,144
6cmp,Q06124,A,1,529
6cmp,Q06124,B,1,529
6cmq,Q06124,A,106,529
6cmq,Q06124,B,106,529
6cmq,Q06124,C,106,529
6cmq,Q06124,D,106,529
6cmr,Q06124,A,1,529
6cms,Q06124,A,1,529
6crf,Q06124,A,1,525
6crf,Q06124,B,1,525
6crg,Q06124,A,1,525
6crg,Q06124,B,1,525
6cz2,Q13882,A,182,443
6cz3,Q13882,A,182,443
6cz4,Q13882,A,182,443
6di0,Q06187,A,389,659
6di1,Q06187,A,389,659
6di3,Q06187,A,389,659
6di5,Q06187,A,389,659
6di9,Q06187,A,389,659
6dm4,P29353,E,425,431
6dm4,P29353,G,425,431
6dm4,P29353,H,425,431
6e4f,Q06187,A,387,659
6e6e,P12931,A,261,536
6e6e,P12931,B,261,536
6e6e,P12931,C,261,536
6e6e,P12931,D,261,536
6e6e,P12931,E,261,536
6e6e,P12931,F,261,536
6e6e,P12931,G,261,536
6e6e,P12931,H,261,536
6edf,P06241,A,83,146
6ehj,P12931,D,2,9
6ehj,P12931,F,2,9
6ep9,Q06187,A,378,659
6gme,Q7KZ85,A,1338,1520
6gme,Q7KZ85,B,1338,1520
6gmh,Q7KZ85,M,1,1726
6h6a,P06239,E,2,11
6h6a,P06239,H,2,11
6h6a,P06239,K,2,11
6hm6,P43405,A,360,635
6hm7,P43405,A,360,635
6hrp,Q06187,A,378,659
6hrt,Q06187,A,378,659
6i4x,O14508,A,30,198
6i5j,O14508,A,30,198
6i5j,O14508,D,30,198
6i5n,O14508,A,30,198
6i5n,O14508,D,30,198
6ibd,Q92835,A,397,857
6icg,P62993,A,60,152
6icg,P62993,B,60,152
6ich,P62993,A,60,152
6ihz,Q06124,A,1,534
6ihz,Q06124,B,1,534
6ipy,P06241,A,82,144
6ipz,P06241,Z,82,144
6j6m,Q06187,A,393,659
6jmf,P07332,A,449,822
6kc4,P16591,A,453,552
6kc4,P16591,C,453,552
6kc4,P16591,E,453,552
6kc4,P16591,G,453,552
6kc4,P16591,I,453,552
6kc4,P16591,K,453,552
6mbw,P51692,A,136,703
6mbw,P51692,B,136,703
6mbz,P51692,A,136,703
6mbz,P51692,B,136,703
6md7,Q06124,A,1,525
6md7,Q06124,B,1,525
6md9,Q06124,A,1,525
6md9,Q06124,B,1,525
6mda,Q06124,A,1,525
6mda,Q06124,B,1,525
6mdb,Q06124,A,1,525
6mdb,Q06124,B,1,525
6mdc,Q06124,A,1,525
6mdc,Q06124,B,1,525
6mdd,Q06124,A,1,525
6mdd,Q06124,B,1,525
6n9p,Q06187,A,389,659
6nct,P27986,B,322,600
6new,P15498,A,170,575
6nf1,P15498,A,2,575
6nfa,P15498,A,170,575
6nfh,Q06187,A,389,659
6nfi,Q06187,A,392,659
6nmw,P07948,A,63,125
6npe,P00519,A,229,512
6npe,P00519,B,229,512
6npu,P00519,A,229,512
6npu,P00519,B,229,512
6npv,P00519,A,229,512
6npv,P00519,B,229,512
6nzm,Q06187,A,382,659
6nzm,Q06187,D,382,659
6o8i,Q06187,A,391,659
6omu,Q06187,A,389,659
6pdj,P06239,A,225,509
6pxb,P20936,A,174,280
6pxb,P20936,B,174,280
6pxb,P20936,C,174,280
6pxb,P20936,D,174,280
6pxb,P20936,E,174,280
6pxb,P20936,F,174,280
6pxc,P20936,A,174,280
6pyr,P27986,B,431,599
6pyu,P27986,B,431,599
6r5g,Q06124,A,105,220
6s90,Q06187,A,393,658
6s90,Q06187,B,393,658
6sdf,P62993,A,2,59
6sdf,P62993,B,2,59
1a81,P07766,B,186,203
1a81,P07766,D,186,203
1a81,P07766,F,186,203
1a81,P07766,H,186,203
1a81,P07766,J,186,203
1a81,P07766,L,186,203
1d4t,Q13291,B,276,286
1d4w,Q13291,C,276,286
1d4w,Q13291,D,276,286
1fbv,P22681,A,47,434
1fbv,P68036,C,1,154
1fyr,P08581,I,1355,1359
1fyr,P08581,J,1355,1359
1fyr,P08581,K,1355,1359
1fyr,P08581,L,1355,1359
1h9o,P09619,B,751,755
1ka6,Q13291,B,275,282
1ka7,Q13291,B,276,286
1m27,Q13291,B,276,286
1mw4,P04626,B,1135,1144
1q68,P01730,A,421,458
1q69,P01732,A,209,227
1shc,P04629,B,489,500
1tce,P20963,B,137,150
1u5s,P48059,B,188,251
1wq1,P01112,R,1,166
2auh,P06213,A,1005,1310
2c9w,Q15370,B,1,118
2c9w,Q15369,C,17,112
2cbl,P22681,A,47,351
2iuh,P10721,B,718,728
2iui,P09619,C,748,758
2iui,P09619,D,748,758
2izv,Q15370,B,1,118
2izv,Q15369,C,17,112
2kso,P29317,A,908,972
2l1c,P05106,B,762,788
2l4k,P04626,B,1135,1144
2lnw,Q8WWN8,B,1404,1412
2loz,Q96QB1,B,811,824
2ms4,P62937,A,1,165
2oq1,P20963,B,69,87
2rd0,P42336,A,1,1068
2rmx,P26715,B,1,15
2ror,Q13094,B,122,136
2vif,P10721,P,564,574
2vwf,Q9UQC2,B,508,522
2w0z,Q9UQC2,B,350,358
2w2x,P15153,A,2,179
2w2x,P15153,B,2,179
2y1n,P22681,A,47,435
2y1n,P22681,C,47,435
2yu7,P26715,B,33,47
3bji,P63000,C,1,177
3bji,P63000,D,1,177
3brh,Q9Y2R2,A,1,310
3brh,Q9Y2R2,B,1,310
3buw,P22681,B,23,351
3buw,P22681,D,23,351
3hhm,P42336,A,1,1068
3hiz,P42336,A,1,1068
3mxc,P05067,L,754,762
3mxy,P05067,L,754,762
3t6g,P56945,B,645,870
3t6g,P56945,D,645,870
3vro,Q9ULV8,A,1,323
3wa4,P10747,B,189,196
3zmp,P18031,A,1,321
3zmp,P18031,B,1,321
3zmq,P18031,A,1,321
3zni,Q13191,A,36,427
3zni,P62837,C,2,147
3zni,P0CG48,D,609,684
3zni,Q13191,E,36,427
3zni,P62837,G,2,147
3zni,P0CG48,H,609,684
3zni,Q13191,I,36,427
3zni,P62837,K,2,147
3zni,P0CG48,L,609,684
3zni,Q13191,M,36,427
3zni,P62837,O,2,147
3zni,P0CG48,P,609,684
4a4b,P22681,A,47,435
4a4b,P62837,C,1,147
4a4c,P22681,A,47,435
4a4c,P62837,C,1,147
4j9d,Q9Y3L3,B,616,625
4j9d,Q9Y3L3,D,616,625
4j9d,Q9Y3L3,F,616,625
4j9f,Q9Y3L3,B,616,625
4j9f,Q9Y3L3,D,616,625
4j9f,Q9Y3L3,F,616,625
4je4,P02751,B,1538,1577
4je4,P02751,B,1578,1621
4je4,P02751,B,1622,1631
4jeg,P02751,B,1538,1582
4jeg,P02751,B,1583,1621
4jeg,P02751,B,1622,1631
4jgh,Q93034,D,10,386
4jps,P42336,A,1,1068
4k81,P01112,B,1,166
4k81,P01112,D,1,166
4k81,P01112,F,1,166
4k81,P01112,H,1,166
4l1b,P42336,A,1,1068
4l23,P42336,A,1,1068
4l2y,P42336,A,1,1068
4ovu,P42336,A,1,1068
4ovv,P42336,A,1,1068
4qsy,Q13480,B,621,633
4roj,Q9H3M7,D,327,338
4roj,Q9H3M7,E,327,338
4roj,Q9H3M7,F,327,338
4waf,P42336,A,2,1068
4xz1,P20963,B,69,87
4ykn,P42336,A,2,1068
4zop,P42336,A,1,1068
5aul,P10747,B,189,196
5bo4,Q15370,B,1,104
5bo4,Q15369,C,17,112
5bo4,Q15370,E,1,104
5bo4,Q15369,F,17,112
5bo4,Q15370,H,1,104
5bo4,Q15369,I,17,112
5bo4,Q15370,K,1,104
5bo4,Q15369,L,17,112
5bo4,Q15370,N,1,104
5bo4,Q15369,O,17,112
5bo4,Q15370,Q,1,104
5bo4,Q15369,R,17,112
5czi,P00533,A,694,1022
5dc0,P02751,A,1538,1631
5dc4,P02751,B,1536,1631
5dc9,P02751,B,1536,1631
5df6,Q9H3M7,B,371,382
5df6,Q9H3M7,C,371,382
5fi4,P42336,A,1,1068
5gjh,P10747,B,189,196
5gjh,P10747,D,189,196
5gji,P10747,B,189,196
5itd,P42336,A,1,1068
5m6u,O00329,A,17,1027
5o76,P22681,A,47,435
5o76,P22681,C,47,435
5sw8,P42336,A,1,1068
5swg,P42336,A,1,1068
5swo,P42336,A,1,1068
5swp,P42336,A,1,1068
5swr,P42336,A,1,1068
5swt,P42336,A,1,1068
5sx8,P42336,A,1,1068
5sx9,P42336,A,1,1068
5sxa,P42336,A,1,1068
5sxb,P42336,A,1,1068
5sxc,P42336,A,1,1068
5sxd,P42336,A,1,1068
5sxe,P42336,A,1,1068
5sxf,P42336,A,1,1068
5sxi,P42336,A,1,1068
5sxj,P42336,A,1,1068
5sxk,P42336,A,1,1068
5ubt,O00329,A,17,1029
5uk8,P42336,A,1,1068
5ukj,P42336,A,1,1068
5ul1,P42336,A,1,1068
5vlr,O00329,A,17,1029
5xgh,P42336,A,8,1055
5xgi,P42336,A,8,1059
5xgj,P42336,A,8,1055
6ehj,P30419,A,109,496
6ehj,P30419,B,109,496
6gmh,Q6PD62,Q,301,1173
6gmh,Q9GZS3,W,1,305
6gmh,P63272,Y,1,117
6gmh,O00267,Z,1,1087
6h6a,Q13432,D,59,240
6h6a,Q13432,G,59,240
6h6a,Q13432,J,59,240
6i4x,Q15370,B,1,104
6i4x,Q15369,C,17,112
6i5j,Q15370,B,1,104
6i5j,Q15369,C,17,112
6i5j,Q15370,E,1,104
6i5j,Q15369,F,17,112
6i5n,Q15370,B,1,104
6i5n,Q15369,C,17,112
6i5n,Q15370,E,1,104
6i5n,Q15369,F,17,112
6nct,P42336,A,1,1068
6pyr,O00329,A,17,1034
6pyu,O00329,A,17,1034
